Quote ID: 2112, Asset Name: Phoenix Global [old], Asset Symbol: PHX
Quote ID: 2120, Asset Name: Etherparty, Asset Symbol: FUEL
Quote ID: 2126, Asset Name: FlypMe, Asset Symbol: FYP
Quote ID: 2130, Asset Name: Enjin Coin, Asset Symbol: ENJ
Quote ID: 2131, Asset Name: iBTC, Asset Symbol: IBTC
Quote ID: 2132, Asset Name: Powerledger, Asset Symbol: POWR
Quote ID: 2134, Asset Name: Grid+, Asset Symbol: GRID
Quote ID: 2135, Asset Name: Revain, Asset Symbol: REV
Quote ID: 2136, Asset Name: ATLANT, Asset Symbol: ATL
Quote ID: 2137, Asset Name: Electroneum, Asset Symbol: ETN
Quote ID: 2143, Asset Name: Streamr, Asset Symbol: DATA
